twitter_id,user_id,time,unknown_1,unknown_2,source,unknown_3,unknown_4,unknown_5,text,name,screen_name,permalink
471145421835100161,195744991,2014-05-27 00:26:36 -0400,"","",web,0,"","Brooklyn, NY",RT @blogdiva: HERE'S MY CURATED COLLECTION OF #ElliotRodger #USCB #YesAllWomen #YesAllWhiteWomen TWEETS: Murderous Intersections “https://t…,Stephanie Schroeder,StephS910,http://www.twitter.com/StephS910/status/471145421835100161
471145555998306304,2526421698,2014-05-27 00:27:08 -0400,"","",web,0,"",#YesAllWhiteWomen,B/c women will never be able to fight for equality until #YesALLWhiteWomen look at the role that they continue to play to keep WOC down,Dolce Jesús,TweetThruItMyGe,http://www.twitter.com/TweetThruItMyGe/status/471145555998306304
471145602110066688,1924098955,2014-05-27 00:27:19 -0400,"","",web,0,"","",RT @PayMyRant: Ignorant men reacting to #YesAllWomen = ignorant women reacting to #YesAllWhiteWomen it's uncomfortable to face your own pri…,Cookie Monster,GreenRodrell,http://www.twitter.com/GreenRodrell/status/471145602110066688
471145644397432833,771455,2014-05-27 00:27:29 -0400,"","",web,0,"",Ohio,"Also: It's not enough to have read/participated in #YesAllWomen this weekend -- please, please pay attention to #YesALLWhiteWomen.",Abi Bechtel,abianne,http://www.twitter.com/abianne/status/471145644397432833
471145967165513728,357846696,2014-05-27 00:28:46 -0400,"","","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",0,"","Auburn, AL","RT @brigidkeely: If you're a white feminist, it's time to quietly &amp; thoughtfully read #YesAllWhiteWomen",Dillon Nettles,Dylawn4,http://www.twitter.com/Dylawn4/status/471145967165513728
471146730533453824,2526421698,2014-05-27 00:31:48 -0400,"","",web,0,"",#YesAllWhiteWomen,B/c when #whitewomen started the fight for voting rights they refused to include WOC #YesALLWhiteWomen #yesallwomen http://t.co/K3riTpeb9n,Dolce Jesús,TweetThruItMyGe,http://www.twitter.com/TweetThruItMyGe/status/471146730533453824
471147590596034560,2206158068,2014-05-27 00:35:13 -0400,"","","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",0,"",So Cal,"RT @ErinZwiener: #YesAllWomen #YesAllWhiteWomen Fellow WW, don't act like ""not all men"" when WoC talk about their experiences. We can do be…",Danielle Reid,lilrainbowninja,http://www.twitter.com/lilrainbowninja/status/471147590596034560
471148467025625088,19464746,2014-05-27 00:38:42 -0400,"","","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",0,"",Los Angeles,"RT @brigidkeely: If you're a white feminist, it's time to quietly &amp; thoughtfully read #YesAllWhiteWomen",Anthony King,theanthonyking,http://www.twitter.com/theanthonyking/status/471148467025625088
471149243018018816,21497549,2014-05-27 00:41:47 -0400,"","","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",0,"",OK,"#YesAllWomen live daily under the crushing weight of the patriarchy, but for women of color #YesALLWhiteWomen are part of the patriarchy too",Molly Turner,rooneyplanet,http://www.twitter.com/rooneyplanet/status/471149243018018816
471150605894172672,133038331,2014-05-27 00:47:12 -0400,"","","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",0,"","Boston, MA","RT @rooneyplanet: #YesAllWomen live daily under the crushing weight of the patriarchy, but for women of color #YesALLWhiteWomen are part of…",The Opinioness,OpinionessWorld,http://www.twitter.com/OpinionessWorld/status/471150605894172672
471152732670148608,225234771,2014-05-27 00:55:39 -0400,"","",web,0,"","","RT @NoThisIsAshley: #YesAllWomen and #YesAllWhiteWomen – read, listen, learn. Feminism doesn't mean anything if it doesn't include A L L wo…",Socio-gen,JennieKinPA,http://www.twitter.com/JennieKinPA/status/471152732670148608
471154507007545344,30317237,2014-05-27 01:02:42 -0400,"","","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",0,"",Arriving,"RT @missladyniobe: Real talk, I'm happy the #YesAllWomen tag exists, but I'm relieved that #YesALLWhiteWomen has emerged too.",Clair Huxtable ,2ClassyIone,http://www.twitter.com/2ClassyIone/status/471154507007545344
471154754320879616,717692852,2014-05-27 01:03:41 -0400,"","","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",0,"",Brooklyn & Planet Earth,RT @CatsBaril: #YesAllWomen are less safe than those who do not read as women #YesALLWhiteWomen are safer than those who do not read as whi…,The Fake Santa Claus,zumikiss,http://www.twitter.com/zumikiss/status/471154754320879616
471156369102733312,140636469,2014-05-27 01:10:06 -0400,"","",web,0,"",Otisburg (an itty-bitty place),When you derail #YesAllWomen w/ #YesAllWhiteWomen can you really be surprised when HT's like #YesAllWhiteMen &amp; #YesAllWhites spring up?,Mitzy Gallifrey,GallowsHumor7,http://www.twitter.com/GallowsHumor7/status/471156369102733312
471157388243116032,1334313697,2014-05-27 01:14:09 -0400,"","","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",0,"","","RT @brigidkeely: If you're a white feminist, it's time to quietly &amp; thoughtfully read #YesAllWhiteWomen",Fem4SexWorkersRights,SupportSWRights,http://www.twitter.com/SupportSWRights/status/471157388243116032
471159447495401472,73650794,2014-05-27 01:22:20 -0400,"","","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",0,"","Tampa, FL",RT @carakalikimaka: #YesAllWomen are not discriminated against in the same way. #YesALLWhiteWomen must realize than WOC are more vulnerable…, ☮ ❤ Ⓥ,cherly_u_jest,http://www.twitter.com/cherly_u_jest/status/471159447495401472
471159460237701120,148054604,2014-05-27 01:22:23 -0400,"","",web,0,"","Edmonds, WA",#YesAllWomen must work together to change way we are treated Equality cant exist until everyones included in conversation #YesALLWhiteWomen,Brooke Sahlstrom,9lines2cross,http://www.twitter.com/9lines2cross/status/471159460237701120
471159489518133248,515896462,2014-05-27 01:22:30 -0400,"","","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",0,"",milf island,RT @ChiefElk: An Open Letter to Eve Ensler http://t.co/zMNkwbMHLO #YesAllWomen #YesALLWhiteWomen,janet snakehole,djmedusahead,http://www.twitter.com/djmedusahead/status/471159489518133248
471160592733319169,309525548,2014-05-27 01:26:53 -0400,"","","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",0,"",searching for humanity,RT @AndrewKetcham: Because sexual violence is something faced by#YesAllWomen but #YesALLWhiteWomen don't face the level of violence WOC do …,CommonTerri,Mediterranean_Z,http://www.twitter.com/Mediterranean_Z/status/471160592733319169
471160781409878016,407178588,2014-05-27 01:27:38 -0400,"","","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",0,"",Knoxville,RT @BlackGirlDanger: RT @JennMJack: How many WW in #YesALLWomen support #FreeMarissa? Ever heard of it? #YesAllWhiteWomen,Robert Naylor,Roqn93,http://www.twitter.com/Roqn93/status/471160781409878016
471162131929251840,1302076392,2014-05-27 01:33:00 -0400,"","",web,0,"","","RT @brigidkeely: If you're a white feminist, it's time to quietly &amp; thoughtfully read #YesAllWhiteWomen",Melian Jarvis,MelianJarvis,http://www.twitter.com/MelianJarvis/status/471162131929251840
471162840942796801,97321495,2014-05-27 01:35:49 -0400,"","","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",0,"","New York, NY",RT @creatrixtiara: Interestingly #YesAllWomen was started by a young woman of color (who wishes to stay anon for now). #YesAllWhiteWomen,Diana M. Pho ,writersyndrome,http://www.twitter.com/writersyndrome/status/471162840942796801
